YOU	ZERO-DAY THREATS	none	none
social engineering	emails	none	none
94%	social engineering	none	none
worldwide breaches3	emails	hypernym	none
BEC	emails	none	none
other email-based threats	social engineering	none	none
94%	BEC	none	none
phishing	BEC	hypernym	none
BEC	social engineering	none	none
94%	phishing	none	none
SandBlast Network	text	hypernym	none
email links	aspects	hypernym	none
email links	email attachments	hyponym	none
aspects	recipient details	none	none
email links	users	hypernym	none
recipient details	incoming email	none	none
email messages	text	hypernym	none
SandBlast Network	recipient details	none	none
email links	incoming email	none	none
email attachments	recipient details	instance	none
Threat Extraction	recipient details	none	none
’ mailbox	users	none	none
users	email attachments	hyponym	none
email messages	email links	none	none
sender	risk	hypernym	none
email messages	email attachments	hyponym	none
email messages	aspects	hypernym	none
text	incoming email	none	none
users	risk	hypernym	none
SandBlast Network	incoming email	none	none
threats	Threat Extraction	none	none
Threat Extraction	users	hypernym	none
threats	’ mailbox	none	none
aspects	risk	hypernym	none
’ mailbox	email attachments	none	none
threats	sender	hypernym	none
’ mailbox	email links	none	none
SandBlast Network	email attachments	none	none
text	aspects	none	none
email attachments	risk	hypernym	none
SandBlast Network	aspects	hypernym	none
aspects	email attachments	none	none
text	sender	hypernym	none
SandBlast Network	sender	hypernym	none
Threat Extraction	risk	hypernym	none
email messages	incoming email	hyponym	none
aspects	sender	none	none
’ mailbox	sender	none	none
threats	recipient details	none	none
’ mailbox	recipient details	none	none
threats	text	hypernym	none
threats	incoming email	hyponym	none
recipient details	risk	hypernym	none
email messages	sender	hypernym	none
email attachments	sender	concept	none
threats	users	hypernym	none
text	recipient details	none	none
SandBlast Network	’ mailbox	hypernym	none
’ mailbox	incoming email	none	none
sender	incoming email	none	none
email messages	SandBlast Network	instance	none
threats	aspects	hypernym	none
text	risk	hypernym	none
users	incoming email	hyponym	none
’ mailbox	Threat Extraction	none	none
SandBlast Network	email links	none	none
aspects	incoming email	none	none
text	users	none	none
users	aspects	none	none
SandBlast Network	Threat Extraction	none	none
email links	recipient details	hyponym	none
email attachments	incoming email	hyponym	none
threats	email attachments	none	none
email messages	’ mailbox	none	none
users	sender	hypernym	none
’ mailbox	aspects	none	none
email links	risk	hypernym	none
text	Threat Extraction	none	none
Threat Extraction	sender	hypernym	none
text	email attachments	hyponym	none
email links	text	hypernym	none
sender	recipient details	hyponym	none
email messages	users	hypernym	none
threats	email links	none	none
Threat Extraction	aspects	hypernym	none
’ mailbox	text	none	none
SandBlast Network	risk	hypernym	none
email messages	Threat Extraction	hyponym	none
risk	incoming email	hyponym	none
threats	email messages	hyponym	none
email links	Threat Extraction	none	none
Threat Extraction	email attachments	none	none
users	recipient details	hyponym	none
threats	SandBlast Network	none	none
SandBlast Network	users	none	none
’ mailbox	risk	none	none
email messages	recipient details	none	none
Threat Extraction	incoming email	none	none
email messages	risk	hypernym	none
email links	sender	hypernym	none
URL reputation	malicious links	none	none
Click-Time Protection	clicks	none	none
rules-based engines	links	none	none
clicks	Threat Emulation	none	none
over 300 parameters	AI-based fraud protection	none	none
over 300 parameters	email	hypernym	none
over 300 parameters	clicks	concept	none
Click-Time Protection	SandBlast Network	none	none
end	URL reputation	none	none
end	multiple innovative technologies	hyponym	none
clicks	malicious links	none	none
email	Threat Emulation	hyponym	none
rules-based engines	NLP	hypernym	none
email	Natural Language Processing	hyponym	none
email	AI-based fraud protection	none	none
links	Threat Emulation	none	none
email	NLP	none	none
Click-Time Protection	Threat Emulation	none	none
real time	URL reputation	none	none
real time	multiple innovative technologies	none	none
NLP	links	none	none
Natural Language Processing	end	hypernym	none
NLP	Natural Language Processing	hyponym	none
Click-Time Protection	AI-based phishing protection	none	none
over 300 parameters	Threat Emulation	none	none
links	URL reputation	none	none
links	multiple innovative technologies	none	none
real time	Natural Language Processing	none	none
real time	Threat Emulation	none	none
over 300 parameters	real time	hypernym	none
Click-Time Protection	over 300 parameters	none	none
email	links	hypernym	none
links	end	hypernym	none
over 300 parameters	rules-based engines	none	none
over 300 parameters	NLP	hypernym	none
SandBlast Network	links	none	none
AI-based fraud protection	NLP	hypernym	none
over 300 parameters	end	hypernym	none
NLP	AI-based phishing protection	hyponym	none
AI-based fraud protection	URL reputation	none	none
Natural Language Processing	multiple innovative technologies	none	none
URL reputation	Threat Emulation	none	none
malicious links	multiple innovative technologies	none	none
Click-Time Protection	links	none	none
AI-based phishing protection	malicious links	hypernym	none
SandBlast Network	AI-based fraud protection	none	none
SandBlast Network	clicks	none	none
real time	AI-based phishing protection	none	none
email	AI-based phishing protection	hyponym	none
email	clicks	none	none
over 300 parameters	malicious links	hypernym	none
malicious links	Threat Emulation	none	none
clicks	end	hypernym	none
SandBlast Network	AI-based phishing protection	none	none
real time	clicks	none	none
real time	AI-based fraud protection	none	none
AI-based fraud protection	malicious links	none	none
real time	email	none	none
real time	malicious links	hyponym	none
real time	links	none	none
rules-based engines	multiple innovative technologies	none	none
NLP	URL reputation	hyponym	none
NLP	multiple innovative technologies	none	none
Natural Language Processing	malicious links	hypernym	none
AI-based fraud protection	clicks	hypernym	none
Click-Time Protection	AI-based fraud protection	none	none
Click-Time Protection	NLP	hypernym	none
Click-Time Protection	email	hypernym	none
rules-based engines	email	hypernym	none
Natural Language Processing	Threat Emulation	hypernym	none
Click-Time Protection	Natural Language Processing	none	none
SandBlast Network	rules-based engines	none	none
Click-Time Protection	end	none	none
SandBlast Network	URL reputation	none	none
over 300 parameters	links	hypernym	none
SandBlast Network	multiple innovative technologies	none	none
email	end	hypernym	none
clicks	URL reputation	none	none
rules-based engines	malicious links	none	none
clicks	multiple innovative technologies	none	none
over 300 parameters	Natural Language Processing	none	none
real time	end	hypernym	none
AI-based phishing protection	URL reputation	none	none
Click-Time Protection	URL reputation	none	none
SandBlast Network	end	hypernym	none
AI-based phishing protection	multiple innovative technologies	none	none
AI-based fraud protection	AI-based phishing protection	none	none
clicks	Natural Language Processing	none	none
real time	rules-based engines	none	none
AI-based phishing protection	links	hypernym	none
real time	NLP	none	none
clicks	links	hypernym	none
clicks	NLP	none	none
email	malicious links	hyponym	none
rules-based engines	end	hypernym	none
SandBlast Network	malicious links	none	none
rules-based engines	clicks	none	none
over 300 parameters	AI-based phishing protection	none	none
SandBlast Network	email	hypernym	none
Click-Time Protection	real time	none	none
AI-based fraud protection	links	hypernym	none
end	Threat Emulation	none	none
clicks	AI-based phishing protection	none	none
AI-based phishing protection	Threat Emulation	hypernym	none
email	URL reputation	hyponym	none
email	multiple innovative technologies	none	none
over 300 parameters	SandBlast Network	none	none
NLP	Threat Emulation	hyponym	none
end	malicious links	hyponym	none
Click-Time Protection	malicious links	none	none
AI-based fraud protection	Natural Language Processing	none	none
AI-based phishing protection	end	hypernym	none
NLP	end	none	none
over 300 parameters	URL reputation	none	none
over 300 parameters	multiple innovative technologies	none	none
SandBlast Network	Threat Emulation	none	none
AI-based phishing protection	Natural Language Processing	none	none
SandBlast Network	Natural Language Processing	none	none
SandBlast Network	real time	none	none
Natural Language Processing	links	hypernym	none
SandBlast Network	NLP	hypernym	none
AI-based fraud protection	end	hypernym	none
links	malicious links	none	none
NLP	malicious links	hyponym	none
AI-based fraud protection	Threat Emulation	none	none
Natural Language Processing	URL reputation	none	none
largest repository	four billion security decisions	hyponym	none
ThreatCloud – Dynamic Threat Intelligence Repository	"real-time, security"	hypernym	none
four billion security decisions	ThreatCloud – Dynamic Threat Intelligence Repository	none	none
largest repository	"real-time, security"	hyponym	none
four billion security decisions	"real-time, security"	hypernym	none
they	breakthrough AI engines	none	none
Point ThreatCloud	emails	none	none
they	emails	none	none
suspicious files	they	hypernym	none
Point ThreatCloud	they	none	none
suspicious files	breakthrough AI engines	none	none
Point ThreatCloud	breakthrough AI engines	none	none
Point ThreatCloud	suspicious files	none	none
breakthrough AI engines	emails	hypernym	none
suspicious files	emails	hypernym	none
browsing	cyber attack data	hyponym	none
antiphishing	ThreatCloud	none	none
browsing	antiphishing	instance	none
zero day protection	ThreatCloud	none	none
browsing	ThreatCloud	none	none
antiphishing	cyber attack data	hyponym	none
zero day protection	cyber attack data	hyponym	none
ThreatCloud	cyber attack data	none	none
browsing	zero day protection	hyponym	none
Hundreds of millions	endpoints	none	none
protected assets	endpoints	hypernym	none
protected assets	Hundreds of millions	none	none
cloud	Hundreds of millions	none	none
cloud	networks	hyponym	none
protected assets	cloud	none	none
cloud	endpoints	hypernym	none
Hundreds of millions	networks	none	none
endpoints	networks	hypernym	none
protected assets	networks	hypernym	none
Check Point Research Labs	Top notch research	none	none
AI-Generated Threat Emulation Verdicts	industry	hypernym	none
AI-Generated Threat Emulation Verdicts	best threat intelligence	none	none
industry	best threat intelligence	hyponym	none
files	evasive attacks	none	none
threat intelligence	files	hypernym	none
deep CPU-level emulation	files	hypernym	none
SandBlast Network	files	hypernym	none
threat intelligence	evasive attacks	none	none
files	nation states	none	none
threat intelligence	nation states	none	none
evasive attacks	emails	hypernym	none
threat intelligence	emails	hypernym	none
SandBlast Network	threat intelligence	none	none
deep CPU-level emulation	emails	hypernym	none
files	emails	hypernym	none
nation states	evasive attacks	none	none
deep CPU-level emulation	evasive attacks	none	none
SandBlast Network	emails	hypernym	none
SandBlast Network	nation states	none	none
deep CPU-level emulation	threat intelligence	hypernym	none
deep CPU-level emulation	nation states	none	none
nation states	emails	none	none
SandBlast Network	deep CPU-level emulation	none	none
SandBlast Network	evasive attacks	none	none
broad range	best zero-day protection	none	none
OS-level inspection	documents	hypernym	none
documents	Mac devices	none	none
enterprise users	PC	none	none
Mac devices	file types	none	none
documents	best zero-day protection	hyponym	none
It	file types	none	none
threats	broad range	none	none
broad range	It	hypernym	none
OS-level inspection	PC	hypernym	none
threats	Mac devices	none	none
Mac devices	It	none	none
OS-level inspection	broad range	none	none
broad range	file types	hypernym	none
OS-level inspection	executables	hypernym	none
Mac devices	enterprise users	none	none
OS-level inspection	Mac devices	none	none
broad range	enterprise users	none	none
PC	file types	none	none
executables	best zero-day protection	instance	none
It	best zero-day protection	none	none
OS-level inspection	best zero-day protection	none	none
enterprise users	executables	none	none
PC	It	none	none
documents	PC	none	none
documents	It	none	none
executables	PC	hypernym	none
executables	It	hypernym	none
documents	enterprise users	none	none
documents	executables	hyponym	none
enterprise users	best zero-day protection	instance	none
threats	executables	none	none
broad range	PC	none	none
PC	best zero-day protection	none	none
OS-level inspection	file types	none	none
threats	enterprise users	hyponym	none
enterprise users	It	none	none
file types	best zero-day protection	hyponym	none
Mac devices	PC	none	none
threats	file types	none	none
OS-level inspection	It	hypernym	none
threats	OS-level inspection	none	none
OS-level inspection	enterprise users	none	none
broad range	Mac devices	none	none
Mac devices	executables	none	none
enterprise users	file types	none	none
threats	It	none	none
Mac devices	best zero-day protection	none	none
threats	PC	none	none
broad range	executables	none	none
threats	best zero-day protection	hyponym	none
threats	documents	hypernym	none
documents	broad range	none	none
SandBlast Network	millions	none	none
SandBlast Network	power	hypernym	none
rich rule-based engines	data science	hypernym	none
rich rule-based engines	newest threats	hypernym	none
SandBlast Network	runtime behaviors	none	none
millions	data science	none	none
millions	newest threats	none	none
power	data science	hyponym	none
power	newest threats	hyponym	none
runtime behaviors	parameters	hypernym	none
SandBlast Network	exhaustive AI engines	none	none
exhaustive AI engines	power	hypernym	none
exhaustive AI engines	rich rule-based engines	none	none
exhaustive AI engines	runtime behaviors	none	none
millions	single conclusive AI-generated verdict	none	none
power	single conclusive AI-generated verdict	none	none
power	parameters	hypernym	none
runtime behaviors	data science	hypernym	none
exhaustive AI engines	single conclusive AI-generated verdict	none	none
runtime behaviors	newest threats	hypernym	none
data science	newest threats	none	none
SandBlast Network	rich rule-based engines	none	none
exhaustive AI engines	millions	none	none
SandBlast Network	parameters	hypernym	none
SandBlast Network	single conclusive AI-generated verdict	none	none
runtime behaviors	rich rule-based engines	instance	none
single conclusive AI-generated verdict	newest threats	none	none
runtime behaviors	single conclusive AI-generated verdict	none	none
exhaustive AI engines	newest threats	none	none
exhaustive AI engines	data science	hypernym	none
data science	single conclusive AI-generated verdict	none	none
millions	power	hypernym	none
power	runtime behaviors	none	none
parameters	data science	none	none
parameters	newest threats	instance	none
exhaustive AI engines	parameters	hypernym	none
SandBlast Network	data science	hypernym	none
SandBlast Network	newest threats	none	none
rich rule-based engines	single conclusive AI-generated verdict	none	none
millions	runtime behaviors	hyponym	none
millions	parameters	hypernym	none
power	rich rule-based engines	hyponym	none
millions	rich rule-based engines	instance	none
rich rule-based engines	parameters	hypernym	none
parameters	single conclusive AI-generated verdict	none	none
wild	AI heuristics	none	none
AI heuristics	latest threats	none	none
wild	latest threats	hyponym	none
need	policies	hypernym	none
box	INTUITIVE MANAGEMENT SandBlast Network	none	none
network segment	security policies	none	none
e.g. data center	need	hypernym	none
box	single click setup4	none	none
policies	security policies	hyponym	none
perimeter	security policies	none	none
guest network	security policies	hypernym	none
single click setup4	INTUITIVE MANAGEMENT SandBlast Network	none	none
perimeter	guest network	hyponym	none
guest network	internal network etc	hypernym	none
guest network	INTUITIVE MANAGEMENT SandBlast Network	none	none
single click setup4	security policies	concept	none
single click setup4	policies	hypernym	none
e.g. data center	INTUITIVE MANAGEMENT SandBlast Network	none	none
INTUITIVE MANAGEMENT SandBlast Network	internal network etc	hypernym	none
security policies	internal network etc	none	none
need	single click setup4	instance	none
security policies	INTUITIVE MANAGEMENT SandBlast Network	none	none
perimeter	single click setup4	none	none
e.g. data center	policies	hypernym	none
guest network	need	hypernym	none
e.g. data center	guest network	hypernym	none
e.g. data center	box	hypernym	none
e.g. data center	security policies	hypernym	none
need	security policies	none	none
guest network	box	hypernym	none
box	network segment	none	none
e.g. data center	network segment	hypernym	none
box	internal network etc	none	none
guest network	policies	hypernym	none
e.g. data center	perimeter	concept	none
single click setup4	internal network etc	none	none
network segment	policies	hypernym	none
perimeter	need	none	none
guest network	single click setup4	none	none
perimeter	policies	none	none
network segment	single click setup4	instance	none
policies	INTUITIVE MANAGEMENT SandBlast Network	none	none
policies	internal network etc	hyponym	none
e.g. data center	internal network etc	hypernym	none
perimeter	box	none	none
network segment	INTUITIVE MANAGEMENT SandBlast Network	none	none
perimeter	INTUITIVE MANAGEMENT SandBlast Network	none	none
e.g. data center	single click setup4	instance	none
box	need	hypernym	none
perimeter	internal network etc	hyponym	none
need	internal network etc	hyponym	none
need	INTUITIVE MANAGEMENT SandBlast Network	none	none
box	policies	hypernym	none
box	security policies	none	none
network segment	need	hypernym	none
optimal network performance	Network settings	hypernym	none
need	Network settings	none	none
business	need	hypernym	none
optimal network performance	need	hypernym	none
need	effective security	hyponym	none
Network settings	effective security	hypernym	none
optimal network performance	effective security	hypernym	none
business	Network settings	none	none
optimal network performance	business	hypernym	none
business	effective security	hyponym	none
power	cost-effective zero-day protection strategy	hyponym	none
organizations	processing	hypernym	none
specific network segment	processing	hypernym	none
bandwidth	policies	hypernym	none
power	processing	hypernym	none
power	organizations	hyponym	none
power	specific network segment	none	none
policies	processing	hypernym	none
power	bandwidth	hypernym	none
power	policies	hypernym	none
cost-effective zero-day protection strategy	policies	hypernym	none
bandwidth	organizations	instance	none
bandwidth	specific network segment	hyponym	none
bandwidth	cost-effective zero-day protection strategy	instance	none
organizations	policies	hypernym	none
specific network segment	policies	hypernym	none
organizations	specific network segment	none	none
cost-effective zero-day protection strategy	organizations	hypernym	none
bandwidth	processing	hypernym	none
cost-effective zero-day protection strategy	processing	hypernym	none
cost-effective zero-day protection strategy	specific network segment	hypernym	none
latest features	technology	hypernym	none
policy updates	need	hypernym	none
best practice policies	technology	hypernym	none
policy updates	auto-updated threat prevention engines	none	none
background	technology	hypernym	none
policy updates	technology	hypernym	none
latest features	best practice policies	none	none
auto-updated threat prevention engines	need	hypernym	none
latest features	background	none	none
best practice policies	need	none	none
