Appliance	Cisco Adaptive Security Appliance	instance	instance
productivity	Cisco ASA 5500X Series NextGeneration Firewalls help	instance	none
unlimited storage	secure Barracuda cloud	hypernym	none
first threatfocused nextgeneration firewall	Cisco Cisco ASA 5500X Series	instance	none
Barracuda	secure	hypernym	none
Barracuda	multiple site	hypernym	none
range	Cisco ASA 5500X Series NextGeneration Firewalls	none	none
premise	Barracuda Cloud Generation network	none	none
policy	Barracuda	instance	none
vendor	secure Barracuda cloud	hypernym	none
Series	Cisco	instance	none
Cisco	support cost	instance	none
Cisco ASA 5500X firewall	Mobility	none	none
industryleading Sourcefire threat	proven Cisco ASA firewall protection	concept	none
Barracuda Cloud Generation network	user	concept	none
Barracuda Cloud Generation network	cost	concept	none
industry	Barracuda Cloud Generation network	hyponym	none
ASA 5585X Adaptive Security Appliances	Cisco Cisco ASA 5500X Series	hyponym	none
enterpriseclass stateful inspection	Cisco Adaptive Security Appliance	none	none
Barracuda	consumptionbased pricing	none	none
continuous threat protection	Cisco	hypernym	none
user security awareness	Barracuda	hypernym	none
Barracuda	onpremises	none	none
Cisco Cisco ASA 5500X Series	protection	hypernym	none
Cisco ASA 5500X firewall	network visibility	none	none
Barracuda	website	concept	none
Cisco ASA 5500X Series NextGeneration Firewalls	multiscale performance	hypernym	none
deployed stateful firewall	Cisco ASA 5500X Series NextGeneration Firewalls help	none	none
Cisco ASA	protection	concept	none
help	Cisco ASA 5500X Series NextGeneration Firewalls help	hypernym	instance
Cisco ASA 5500X firewall	cloud drive productivity	none	none
Cisco Cisco ASA 5500X Series	FirePOWER	hypernym	none
following capability	Cisco Adaptive Security Appliance	instance	none
aspect	Barracuda	none	none
Cisco ASA 5500X firewall	superior threat	concept	none
Firewalls	Cisco ASA 5500X Series NextGeneration Firewalls	instance	instance
available	Cisco Cisco ASA 5500X Series	hypernym	none
Appliance	Cisco ASA 5500X Series NextGeneration Firewalls	instance	instance
Barracuda	defense	concept	none
allinone approach	Barracuda	hypernym	none
cloud	Barracuda	hypernym	none
network	Cisco ASA 5500X Series NextGeneration Firewalls	instance	none
Cisco representative	representative	concept	concept
Barracuda	user	none	none
Cisco ASA 5500X firewall	cost	concept	none
Series	Cisco ASA	instance	none
Cisco ASA 5500X firewall	visibility	concept	none
backup solution	secure Barracuda cloud	none	none
location	secure Barracuda cloud	hyponym	none
cloud	Barracuda Cloud Generation network	none	none
Barracuda	tool necessary	none	none
solution	Cisco ASA 5500X Series NextGeneration Firewalls help	instance	none
solution	secure Barracuda cloud	hyponym	none
Barracuda Cloud Generation network	site	concept	none
business	secure Barracuda cloud	none	none
Cisco ASA	single device	concept	none
Barracuda	vector	concept	none
FirePOWER	proven Cisco ASA firewall protection	instance	none
Barracuda Cloud Generation network	application	hypernym	none
Barracuda	wide range	none	none
Cisco ASA	device	concept	concept
single device	Cisco Cisco ASA 5500X Series	instance	none
size	Cisco ASA 5500X Series NextGeneration Firewalls	none	none
Barracuda	threat vector	concept	none
Barracuda Cloud Generation network	first solution purposebuilt	hypernym	none
wide range	Cisco ASA 5500X Series NextGeneration Firewalls	instance	none
ASA 5585X Adaptive Security Appliances	Cisco ASA	hypernym	concept
software	Cisco ASA 5500X Series NextGeneration Firewalls	instance	instance
attack	Cisco	hypernym	none
Cisco ASA	Cisco	instance	none
storage	secure Barracuda cloud	hyponym	none
Cisco	industry	hypernym	none
Cisco representative	Chat	hypernym	none
proven Cisco ASA firewall protection	device	concept	none
Cisco ASA 5500X firewall	automation	concept	none
Barracuda	Emailborne attack interrupt business operation	hypernym	none
infrastructure look	Barracuda Cloud Generation network	instance	none
Barracuda	Fullyfeatured APIs enable DevOps	hypernym	none
Barracuda	protection	hypernym	none
protection	secure Barracuda cloud	none	none
theft	secure Barracuda cloud	hypernym	none
Cisco Cisco ASA 5500X Series	proven Cisco ASA firewall protection	hypernym	none
product	Barracuda	none	instance
Barracuda	email	concept	none
comprehensive range	Cisco ASA 5500X Series NextGeneration Firewalls help	instance	none
data loss	Barracuda	hypernym	none
Series	proven Cisco ASA firewall protection	instance	none
purposebuilt	Barracuda	hypernym	none
Barracuda	approach	hypernym	none
Cisco Adaptive Security Appliance	ASA software	hypernym	concept
application firewall	Barracuda Cloud Generation network	hypernym	none
Barracuda	secure Barracuda cloud	none	none
Barracuda	look	hypernym	none
Barracuda	mobile device	none	none
Protect network	Cisco ASA 5500X Series NextGeneration Firewalls	instance	none
Cisco ASA 5500X firewall	introduce risk	hypernym	none
solution	proven Cisco ASA firewall protection	hyponym	none
multiple vendor	Barracuda	hypernym	none
Cisco Cisco ASA 5500X Series	Cisco	concept	none
Barracuda	highperformance network solution	none	none
allinone approach	secure Barracuda cloud	hypernym	none
Barracuda	site	none	none
application firewall	Barracuda	hypernym	none
reliable connection	Barracuda	hypernym	none
Barracuda	perimeter	hypernym	none
ASA	Cisco	hypernym	none
Cisco ASA 5500X firewall	asset	concept	concept
malware protection	Cisco ASA 5500X firewall	hypernym	none
operational efficiency	Cisco	concept	none
single device	Cisco	hyponym	none
Cisco Adaptive Security Appliance	Software	concept	concept
Software	Cisco ASA 5500X Series NextGeneration Firewalls	instance	instance
Cisco Adaptive Security Appliance	capability	hypernym	none
Cisco ASA 5500X Series NextGeneration Firewalls help	industry	concept	none
Cisco Cisco ASA 5500X Series	industry	concept	none
Series	Cisco Cisco ASA 5500X Series	hypernym	instance
software	Cisco Adaptive Security Appliance	concept	instance
Barracuda	firewall	concept	concept
Barracuda	security	concept	none
